"filename", "language", "TypeScript", "TypeScript JSX", "JSON", "CSV", "Markdown", "comment", "blank", "total"
"c:\Users\Abdessamed\Desktop\Full Stack Projects\echo-board\frontend\src\main.tsx", "TypeScript JSX", 0, 4, 0, 0, 0, 0, 0, 4
"c:\Users\Abdessamed\Desktop\Full Stack Projects\echo-board\frontend\src\pages\Home.tsx", "TypeScript JSX", 0, 57, 0, 0, 0, 2, 0, 59
"c:\Users\Abdessamed\Desktop\Full Stack Projects\echo-board\frontend\src\redux\slices\globalSlice.ts", "TypeScript", 32, 0, 0, 0, 0, 0, 5, 37
"c:\Users\Abdessamed\Desktop\Full Stack Projects\echo-board\frontend\src\redux\store.ts", "TypeScript", 10, 0, 0, 0, 0, 2, 2, 14
"c:\Users\Abdessamed\Desktop\Full Stack Projects\echo-board\frontend\src\services\canvas\canvasServices.ts", "TypeScript", 223, 0, 0, 0, 0, 9, 43, 275
"c:\Users\Abdessamed\Desktop\Full Stack Projects\echo-board\frontend\src\services\canvas\saveCanvas.ts", "TypeScript", 47, 0, 0, 0, 0, 0, 7, 54
"c:\Users\Abdessamed\Desktop\Full Stack Projects\echo-board\frontend\src\services\socket\socket-services.ts", "TypeScript", 21, 0, 0, 0, 0, 1, 6, 28
"c:\Users\Abdessamed\Desktop\Full Stack Projects\echo-board\frontend\src\utils\canvas\canvas-utils.ts", "TypeScript", -73, 0, 0, 0, 0, -1, -3, -77
"c:\Users\Abdessamed\Desktop\Full Stack Projects\echo-board\frontend\src\utils\canvas\canvasUtils.ts", "TypeScript", 67, 0, 0, 0, 0, 0, 7, 74
"c:\Users\Abdessamed\Desktop\Full Stack Projects\echo-board\frontend\src\utils\canvas\circleMode.ts", "TypeScript", 14, 0, 0, 0, 0, 0, 2, 16
"c:\Users\Abdessamed\Desktop\Full Stack Projects\echo-board\frontend\src\utils\canvas\drawMode.ts", "TypeScript", 20, 0, 0, 0, 0, 3, 6, 29
"c:\Users\Abdessamed\Desktop\Full Stack Projects\echo-board\frontend\src\utils\canvas\eraseMode.ts", "TypeScript", 16, 0, 0, 0, 0, 0, 4, 20
"c:\Users\Abdessamed\Desktop\Full Stack Projects\echo-board\frontend\src\utils\canvas\rectangleMode.ts", "TypeScript", 16, 0, 0, 0, 0, 0, 2, 18
"c:\Users\Abdessamed\Desktop\Full Stack Projects\echo-board\frontend\src\utils\canvas\rhombusMode.ts", "TypeScript", 21, 0, 0, 0, 0, 0, 2, 23
"c:\Users\Abdessamed\Desktop\Full Stack Projects\echo-board\frontend\src\utils\canvas\triangleMode.ts", "TypeScript", 15, 0, 0, 0, 0, 0, 2, 17
"c:\Users\Abdessamed\Desktop\Full Stack Projects\echo-board\frontend\vite.config.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 0, 1
"Total", "-", 1191, 997, 14, 20, 80, 93, 344, 2739
